id,name,locality,country,region,tier,category,lat,lon,seaTempC,bestMonths,sand,water,swimming,surf,setting,blueFlag,tags,description,url
shengjin-beach-al,Shëngjin Beach,Lezhë,AL,Europe,3,resort,41.81,19.592,25,Jun-Sep,A long sandy beach lined with hotels and beach bars,"Warm, calm, shallow Adriatic","Warm, shallow and family-friendly",None,"A busy northern resort town beside the Kune-Vain lagoons, backed by a wooded hill",false,resort|family|Adriatic|lagoons,Northern Albania's big sandy resort beach — a long warm-water strand of hotels and bars beside the Kune-Vain lagoons.,https://europebeachmap.com/beaches/shengjin-beach-al/
velipoja-beach-al,Velipojë Beach,Shkodër,AL,Europe,3,resort,41.87,19.43,25,Jun-Sep,"A very long, wide beach of fine dark sand, reputed to be mildly therapeutic","Warm, shallow, gentle Adriatic","Warm, shallow and safe — a family favourite",None,"A sprawling family resort near the Buna river mouth and a protected lagoon reserve, south of Shkodër",false,family|long beach|Adriatic|lagoon,"A vast, shallow family beach of fine sand near the Buna river delta — one of northern Albania's most popular summer resorts.",https://europebeachmap.com/beaches/velipoja-beach-al/
neum-beach-ba,Neum Beach,Neum,BA,Europe,3,resort,42.925,17.615,26,Jun-Sep,Pebble and concrete-terrace bathing spots,"Calm, clear Adriatic blue in a deep sheltered bay",Warm and calm — the bay is protected by the Pelješac peninsula,None,"Bosnia's only seaside town, on a fjord-like channel behind Pelješac",false,only coast|sheltered bay|adriatic,"Bosnia and Herzegovina's entire coastline in one town — a sheltered, warm Adriatic channel behind the Pelješac peninsula.",https://europebeachmap.com/beaches/neum-beach-ba/
knokke-heist-be,Knokke-Heist,Flanders,BE,Europe,2,resort,51.35,3.288,20,June to September,"A very wide, flat golden beach at Belgium's smartest resort","Shallow, gentle North Sea","Shallow and calm, lifeguarded in summer","None, though a sand-yacht and kite beach","Upmarket villas, art galleries and the Zwin nature reserve",true,upmarket resort|wide beach|North Sea|Zwin reserve,Belgium's most elegant seaside resort spreads an enormously wide beach beneath chic villas and galleries.,https://europebeachmap.com/beaches/knokke-heist-be/
de-haan-beach-be,De Haan Beach,West Flanders,BE,Europe,3,resort,51.275,3.035,19,Jun-Sep,"Wide, flat golden sand","Shallow, gentle North Sea water",Shallow and lifeguarded in season,None,"Belgium's best-preserved belle-époque resort, all villas and tram bells",true,belle époque|villas|family,Belle-époque Belgium intact — a broad family beach below the whitewashed villas where Einstein once summered.,https://europebeachmap.com/beaches/de-haan-beach-be/
de-panne-beach-be,De Panne Beach,West Flanders,BE,Europe,3,cold,51.098,2.573,19,Jun-Sep,"Very wide, flat pale sand","Shallow, gentle North Sea blue",Very shallow with a huge tidal range,Land-yachting rather than surf,"Belgium's widest beach, birthplace of sand-yachting, beside high dunes",true,sand yachts|wide|dunes,"Belgium's widest beach — a vast flat expanse of firm sand beneath big dunes, the birthplace of sand-yachting.",https://europebeachmap.com/beaches/de-panne-beach-be/
ostend-beach-be,Ostend Beach,Ostend,BE,Europe,3,resort,51.232,2.912,19,Jun-Sep,Wide golden sand,"Cool, gentle North Sea blue","Shallow and gentle, lifeguarded in summer",None,The lively city beach of Belgium's 'Queen of Coastal Resorts',false,city beach|promenade|resort,"The broad city beach of Ostend, the 'Queen of the Belgian Coast', backed by a grand promenade and casino.",https://europebeachmap.com/beaches/ostend-beach-be/
golden-sands-bg,Golden Sands,Varna,BG,Europe,1,resort,43.285,28.041,25,Jun-Sep,"Famously fine, deep golden sand","Clear, calm Black Sea blue","Warm, gently shelving and family-friendly",None,A forested nature-park hillside dropping to Bulgaria's classiest resort beach,true,golden sand|forest park|resort,"The sand really is golden — a deep, fine strand beneath the forested hills of a Black Sea nature park.",https://europebeachmap.com/beaches/golden-sands-bg/
sunny-beach-bg,Sunny Beach,Nesebar,BG,Europe,1,resort,42.69,27.712,25,Jun-Sep,Eight kilometres of fine golden sand,"Warm, gently shelving Black Sea blue","Warm, shallow and lifeguarded along the resort strip",None,"Bulgaria's biggest resort, next to the UNESCO old town of Nesebar",true,resort|nightlife|black sea,Bulgaria's party flagship — eight kilometres of warm golden sand beside the ancient peninsula town of Nesebar.,https://europebeachmap.com/beaches/sunny-beach-bg/
sozopol-harmanite-bg,Harmanite Beach,Sozopol,BG,Europe,2,resort,42.415,27.699,25,Jun-Sep,Soft brown-gold sand,"Clear, calm Black Sea water",Gentle and shallow in the town bay,None,"The southern beach of Bulgaria's prettiest old town, all wooden houses and cobbles",false,old town|family|black sea,The house beach of Sozopol's cobbled old town — Bulgaria's answer to a Greek island port.,https://europebeachmap.com/beaches/sozopol-harmanite-bg/
shkorpilovtsi-beach-bg,Shkorpilovtsi Beach,"Dolni Chiflik, Varna Province",BG,Europe,2,wild,42.9632,27.8942,25,Jun-Sep,Soft pale sand and low dunes running some 13 km — Bulgaria's longest beach,Clean open Black Sea blue,Long shallow entry; modest waves build on onshore days,None,"Backed by dunes, woods and campsites south of the Kamchia river mouth, with a lone research pier marking the middle of the strand",false,longest in bulgaria|dunes|camping,Thirteen unbroken kilometres of dune-backed sand — Bulgaria's longest beach and one of its emptiest.,https://europebeachmap.com/beaches/shkorpilovtsi-beach-bg/
silistar-beach-bg,Silistar Beach,"Strandzha, Burgas Province",BG,Europe,2,wild,42.0224,28.0107,25,Jun-Sep,Fine light-golden sand in a bay pinched between two low green capes,Exceptionally clear turquoise-green,Sheltered and gently shelving; usually calm when the north wind stays away,None,"Deep in the Silistar protected area on the Strandzha coast, minutes from the Turkish border; the little Silistar river seeps out at one end",false,protected area|clear water|near border,Bulgaria's last bay before Turkey — clear water and empty sand at the wild edge of Strandzha.,https://europebeachmap.com/beaches/silistar-beach-bg/
veleka-beach-bg,Veleka Beach,"Sinemorets, Strandzha",BG,Europe,2,wild,42.065,27.975,26,Jun-Sep,A wild sandbar of pale sand,Clear Black Sea blue meeting a green river,Swim the sea side; the river mouth has currents,None,Where the Veleka river loops into the sea below the wild Strandzha hills,false,river mouth|wild|strandzha,"A sandbar pinched between a looping green river and the open Black Sea, at the wild southern end of Bulgaria's coast.",https://europebeachmap.com/beaches/veleka-beach-bg/
albena-beach-bg,Albena Beach,Albena,BG,Europe,3,resort,43.366,28.086,25,Jun-Sep,"Wide, fine golden sand","Very shallow, warm and calm",Among the safest family swimming on the Black Sea — shallow for 150m out,None,A purpose-built resort backed by the Baltata riverine forest reserve,true,family|shallow|resort,A resort strand so shallow you can wade a hundred metres out — Bulgaria's classic family beach beside a jungle-like forest reserve.,https://europebeachmap.com/beaches/albena-beach-bg/
bolata-beach-bg,Bolata Beach,Cape Kaliakra,BG,Europe,3,wild,43.381,28.472,25,Jun-Sep,A small crescent of pale sand,"Clear, shallow and calm",Sheltered and shallow inside the red-cliff cove,None,A hidden valley cove between rust-red cliffs in the Kaliakra reserve,false,red cliffs|reserve|cove,A secret crescent tucked between rust-red cliffs where the Kaliakra steppe suddenly opens to the sea.,https://europebeachmap.com/beaches/bolata-beach-bg/
irakli-beach-bg,Irakli Beach,Emona,BG,Europe,3,wild,42.75,27.89,25,Jun-Sep,"Long, soft pale sand and low dunes","Clean, clear Black Sea blue",Open and gently shelving; some naturist stretches,None,"A protected, mostly undeveloped strand below the Balkan mountains' last slopes",false,undeveloped|camping|bohemian,"Bulgaria's bohemian escape — a long, protected strand where the Balkan range slides into the Black Sea.",https://europebeachmap.com/beaches/irakli-beach-bg/
nissi-beach-cy,Nissi Beach,"Ayia Napa, Cyprus",CY,Europe,1,resort,34.988,33.9688,28,May–Oct,Soft white sand with a shallow sandbar out to a tiny islet,"Warm, clear turquoise",Warm shallow water; wade across the sandbar to the islet,None,"A lively resort beach with bars, foam parties and watersports",true,party|resort|turquoise,"Cyprus's famous party beach, where a shallow sandbar leads to a little islet off Ayia Napa.",https://europebeachmap.com/beaches/nissi-beach-cy/
petra-tou-romiou-cy,Petra tou Romiou,"Kouklia, Paphos",CY,Europe,1,wild,34.6635,32.627,28,May-Oct,Banded grey and white pebbles polished smooth by the surf,"Intense sapphire, foaming white around the great sea stack",A quick dip close to shore — currents and sudden depth around the rocks demand caution,None,"Aphrodite's mythical birthplace on the old Paphos-Limassol coast road, a giant limestone sea stack rising from the surf-line",false,mythology|sea stack|photo stop,Aphrodite's birthplace — sapphire surf breaking on pebbles around a colossal limestone sea stack.,https://europebeachmap.com/beaches/petra-tou-romiou-cy/
fig-tree-bay-cy,Fig Tree Bay,"Protaras, Cyprus",CY,Europe,2,resort,35.0113,34.0645,28,May–Oct,Fine golden sand sloping into shallow water,"Clear, calm turquoise","Calm shallow water, excellent for families; an islet to swim to",None,An organised resort bay named after a lone centuries-old fig tree,true,family|resort|turquoise,"A calm golden-sand resort bay off Protaras, regularly rated among Europe's best beaches.",https://europebeachmap.com/beaches/fig-tree-bay-cy/
konnos-bay-cy,Konnos Bay,"Cape Greco, Protaras",CY,Europe,2,tropical,34.976,34.073,28,May-Oct,Fine golden sand,"Clear, calm turquoise","Warm, sheltered and shallow in the bay",None,A sheltered cove between pine-clad headlands in the Cape Greco park,true,turquoise|sheltered|national park,A sheltered turquoise cove cradled by pine-clad headlands at the edge of Cyprus's wild Cape Greco park.,https://europebeachmap.com/beaches/konnos-bay-cy/
kourion-beach-cy,Kourion Beach,"Episkopi, Limassol",CY,Europe,2,wild,34.6577,32.8857,27,May-Oct,"Grey-brown sand and fine shingle along an open, breezy strand","Clean open-sea blue, livelier than Cyprus's sheltered east-coast bays",Fine on calm mornings; wind and waves build most afternoons,Breezy afternoons draw kitesurfers and windsurfers to the open bay,"Directly below the Greco-Roman theatre and mosaics of ancient Kourion, with a short strip of fish tavernas on the sand",true,ancient ruins|kitesurfing|tavernas,"Swim beneath a Greco-Roman theatre — ancient Kourion's breezy, taverna-dotted strand.",https://europebeachmap.com/beaches/kourion-beach-cy/
coral-bay-cy,Coral Bay,"Peyia, Paphos",CY,Europe,3,resort,34.858,32.376,28,May-Oct,Soft golden sand,"Clear, calm blue","Warm, calm and shallow between two headlands",None,A sheltered resort bay of golden sand north of Paphos,true,resort|golden sand|family,"A sheltered golden-sand resort bay north of Paphos, calm and shallow between two low limestone headlands.",https://europebeachmap.com/beaches/coral-bay-cy/
governors-beach-cy,Governor's Beach,Limassol,CY,Europe,3,exotic,34.712,33.29,27,May-Oct,Dark grey sand beneath chalk-white cliffs,"Clear, warm Mediterranean blue",Warm and gently shelving below the white ledges,None,White chalk bluffs and fish tavernas between Limassol and Larnaca,false,white cliffs|dark sand|tavernas,"Cyprus in negative — charcoal sand beneath chalk-white cliffs, with fish tavernas on the ledge above.",https://europebeachmap.com/beaches/governors-beach-cy/
lara-beach-cy,Lara Beach,Akamas Peninsula,CY,Europe,3,wild,34.928,32.298,28,May-Oct,Pale sand,"Clear, deep blue",Clear and open; a protected nesting beach — respect the turtles,None,"A wild, roadless turtle-nesting beach in the Akamas peninsula reserve",false,turtles|wild|reserve,"A wild, roadless beach in the Akamas reserve where loggerhead and green turtles come ashore to nest each summer.",https://europebeachmap.com/beaches/lara-beach-cy/
makronissos-beach-cy,Makronissos Beach,Ayia Napa,CY,Europe,3,resort,34.985,33.94,28,May-Oct,Soft pale-gold sand over three linked coves,"Warm, shallow, clear turquoise",Calm and family-gentle in the coves,None,Three coves and ancient rock-cut tombs west of Ayia Napa,true,three coves|tombs|family,"Three gentle turquoise coves sharing a headland with ancient rock-cut tombs, on Ayia Napa's calmer side.",https://europebeachmap.com/beaches/makronissos-beach-cy/
kampen-beach-de,Kampen Beach,Sylt,DE,Europe,1,cold,54.95,8.34,19,June to September,"Wide pale sand beneath the glowing Rotes Kliff, the Red Cliff","Clear, brisk North Sea",Bracing North Sea swimming with strong surf and tides,Occasional North Sea swell; Sylt is a German surf hub,The red-ochre cliff and heath of Germany's most fashionable northern island,false,red cliff|Sylt|North Sea|chic resort,Germany's most fashionable island beach runs beneath the glowing ochre face of Sylt's Red Cliff.,https://europebeachmap.com/beaches/kampen-beach-de/
westerland-beach-de,Westerland Beach,"Sylt, Schleswig-Holstein",DE,Europe,1,resort,54.9074,8.2985,19,Jun-Aug,Broad white-gold sand lined with hundreds of hooded wicker Strandkörbe,Green open North Sea with proper waves,Real swell and tidal pull; swim between the flags at the guarded zones,Consistent beach breaks; the Windsurf World Cup runs off Brandenburger Strand each autumn,"Six kilometres of promenade-backed sand fronting Sylt's busy main town, dunes stretching away north and south",false,beach chairs|promenade|windsurfing,"Germany's most famous island resort meets the open North Sea — wicker beach chairs, white sand and real surf.",https://europebeachmap.com/beaches/westerland-beach-de/
binz-beach-de,Binz Beach,Rugen,DE,Europe,2,resort,54.4,13.616,19,June to September,Long white sand lined with hooded wicker beach chairs,"Shallow, calm Baltic water","Gentle, shallow Baltic swimming",None,White seaside-resort villas and a pier on Germany's largest island,true,seaside resort|white villas|Strandkorb|Rugen,Rugen's grand white-villa resort lines a broad Baltic strand dotted with hooded wicker beach chairs.,https://europebeachmap.com/beaches/binz-beach-de/
heringsdorf-beach-de,Heringsdorf Beach,"Usedom, Mecklenburg-Vorpommern",DE,Europe,2,resort,53.9567,14.1715,20,Jun-Aug,"Fine pale powder sand, raked flat between rows of Strandkörbe","Calm, clear southern Baltic",Gentle shelf and small waves — easy bathing water since imperial times,None,Germany's longest pier (508 m) juts from a seafront of white belle-époque villas; the promenade runs unbroken to Świnoujście in Poland,false,imperial resort|pier|promenade,"The grandest of Usedom's Kaiserbäder — powder sand, wedding-cake villas and Germany's longest pier.",https://europebeachmap.com/beaches/heringsdorf-beach-de/
kniepsand-amrum-de,Kniepsand,"Amrum, North Frisia",DE,Europe,2,wild,54.6406,8.3286,19,Jun-Aug,A bare sandbank up to 1.5 km wide — the walk to the waterline can take twenty minutes,Churning green North Sea beyond ribbed tidal runnels,Swim only at the guarded bathing points — currents and shifting bars are serious on the open sand,None,"A ten-kilometre sandbank welded to Amrum's west coast, reached on boardwalks over the dunes from Norddorf, Nebel and Wittdün",false,vast sandbank|boardwalks|dunes,Amrum's Kniepsand is less a beach than a small white desert — a kilometre of bare sand between dune and surf.,https://europebeachmap.com/beaches/kniepsand-amrum-de/
st-peter-ording-de,St. Peter-Ording,Schleswig-Holstein,DE,Europe,2,cold,54.298,8.593,19,Jun-Sep,Vast flat pale sand,Shallow North Sea over huge tidal flats,Very shallow with big tides; a vast flats-and-wind beach,Kite and land-sailing hub,"Germany's largest beach, famous for stilt houses out on the tidal sand",false,stilt houses|tidal flats|kite,Germany's vast North Sea beach — kilometres of tidal sand dotted with iconic stilt-legged houses and kitesurfers.,https://europebeachmap.com/beaches/st-peter-ording-de/
timmendorfer-strand-de,Timmendorfer Strand,Lübeck Bay,DE,Europe,2,resort,53.997,10.79,19,Jun-Sep,Fine pale sand lined with hooded wicker beach chairs,"Calm, gently shelving Baltic water",Gentle and family-friendly along the bay,None,"Germany's smartest Baltic resort on Lübeck Bay, promenade and piers included",false,strandkorb|elegant resort|baltic,Germany's polished Baltic classic — ranks of hooded wicker chairs on pale sand along Lübeck Bay.,https://europebeachmap.com/beaches/timmendorfer-strand-de/
norderney-weststrand-de,Norderney Weststrand,East Frisian Islands,DE,Europe,3,cold,53.71,7.145,19,Jun-Sep,Wide white North Sea sand,"Brisk, tide-swept North Sea water","Bracing, with guarded bathing zones; big skies and big air","Germany's oldest surf spot, a small faithful scene",A spa island of dunes and thalasso tradition in the Wadden Sea UNESCO zone,false,island|thalasso|dunes,Germany's original seaside cure — white Frisian sand and North Sea air on the spa island of Norderney.,https://europebeachmap.com/beaches/norderney-weststrand-de/
prerow-beach-de,Prerow Beach,Darß Peninsula,DE,Europe,3,cold,54.457,12.573,18,Jun-Aug,Wide pale sand,"Shallow, clear Baltic blue","Shallow, calm and clean",None,"A broad, forest-backed beach in the wild Darß-Zingst national park",true,national park|forest|wild coast,"A broad, gently shelving Baltic beach backed by the wind-sculpted pine forest of the wild Darß national park.",https://europebeachmap.com/beaches/prerow-beach-de/
warnemunde-de,Warnemünde,Rostock,DE,Europe,3,resort,54.18,12.083,18,Jun-Aug,Wide pale sand,"Shallow, gentle Baltic blue","Shallow and calm, lined with hooded wicker chairs",None,A grand Baltic seaside resort at the mouth of the Warnow with a lighthouse,true,Baltic resort|lighthouse|Strandkorb,A broad Baltic resort beach dotted with hooded wicker chairs beneath a white lighthouse at the mouth of the Warnow.,https://europebeachmap.com/beaches/warnemunde-de/
amager-strandpark-dk,Amager Strandpark,Copenhagen,DK,Europe,2,resort,55.6564,12.6412,18,Jun-Aug,Two kilometres of imported white sand on a purpose-built island,"Clean Øresund blue outside; a warm, waist-deep lagoon behind",Lagoon side child-shallow; the sea side drops off bathing jetties,None,"Fifteen minutes by metro from central Copenhagen, facing the Øresund Bridge and a line of offshore turbines",false,city beach|lagoon|metro access,"Copenhagen's engineered island beach — ride the metro out, swim the Øresund, watch the bridge.",https://europebeachmap.com/beaches/amager-strandpark-dk/
bellevue-dk,Bellevue Beach,"Klampenborg, Copenhagen",DK,Europe,2,resort,55.767,12.586,18,Jun-Aug,A tidy crescent of imported golden sand,"Shallow, calm Øresund","Shallow, calm and family-friendly, a short train ride from the city",None,"Copenhagen's designer beach at Klampenborg, with Arne Jacobsen's striped lifeguard towers and kiosks",false,Arne Jacobsen|city beach|Øresund|design,"Copenhagen's design-classic beach — Arne Jacobsen's striped lifeguard towers over a calm Øresund crescent, minutes from the city.",https://europebeachmap.com/beaches/bellevue-dk/
blavand-beach-dk,Blåvand Beach,"Blåvand, Jutland",DK,Europe,2,resort,55.5501,8.1055,18,Jun-Aug,Enormously wide white-gold sand under low dunes,"North Sea green, unusually clear and calm for the west coast",Gentler than the rest of the west coast — Horns Rev offshore blunts the waves,None,"Denmark's westernmost point: summer-house dunes, a lighthouse and WW2 bunkers wearing sculpted mule heads",true,dunes|bunker mules|summer houses|family,"Denmark's westernmost beach — vast white sand, reef-sheltered bathing and bunkers turned into mule sculptures.",https://europebeachmap.com/beaches/blavand-beach-dk/
dueodde-dk,Dueodde,Bornholm,DK,Europe,2,cold,54.988,15.079,19,June to August,"Famously fine, powder-white quartz sand","Clear, shallow, pale Baltic water","Shallow, calm and family-friendly Baltic swimming",None,"Pine forest, dunes and a tall lighthouse at Bornholm's southern tip",true,white sand|Baltic|lighthouse|Bornholm,"Powder-fine white sand so pure it was once used in hourglasses, on Bornholm's sun-soaked southern tip.",https://europebeachmap.com/beaches/dueodde-dk/
grenen-dk,Grenen,Skagen,DK,Europe,2,wild,57.744,10.64,18,Jun–Aug,Pale gold,Two seas colliding,"Cold, strong currents",None,Denmark’s northern sandspit,false,Two seas meet|Art light|Walk,Stand with a foot in two seas where the Skagerrak and Kattegat collide.,https://europebeachmap.com/beaches/grenen-dk/
klitmoller-dk,Klitmøller,"Cold Hawaii, Thy",DK,Europe,2,surf,57.038,8.478,17,Jun-Sep,Pale sand and shingle scattered with colourful fishing boats,"Cold, clear, powerful North Sea","Cold and lively; this is surf country, not calm bathing","'Cold Hawaii' — Denmark's premier surf and windsurf coast, host to a world-cup wave",A former fishing hamlet in Thy National Park that became Northern Europe's surf capital,false,surf|Cold Hawaii|North Sea|Thy,"'Cold Hawaii' — a windswept Thy fishing village turned Northern Europe's surf capital, with world-class North Sea waves.",https://europebeachmap.com/beaches/klitmoller-dk/
blokhus-dk,Blokhus Beach,North Jutland,DK,Europe,3,resort,57.252,9.578,17,Jun-Aug,"Kilometres of wide, firm golden sand you can drive a car onto","Cool, shallow North Sea with a gentle shelf","Shallow and lifeguarded in summer, though bracing",Wind and small beach-break swell,"A cheerful North Jutland resort with white bathing huts, a red beach beacon and a drive-on beach",false,drive-on beach|bathing huts|family|North Sea,"A wide North Jutland resort beach of firm golden sand — famous for its white bathing huts, red beacon and cars parked on the strand.",https://europebeachmap.com/beaches/blokhus-dk/
fano-dk,Fanø Beach,"Rindby, Fanø",DK,Europe,3,cold,55.407,8.4,19,Jun-Aug,One of Northern Europe's widest beaches — a vast firm sand flat,"Shallow, cool Wadden Sea that retreats far at low tide","Shallow and gentle, but the tide goes a very long way out",Wind sports on the wide flats,"The immense west-facing beach of the Wadden Sea island of Fanø, off Esbjerg",false,widest beach|Wadden Sea|drive-on|island,"One of Northern Europe's widest beaches — a vast firm sand flat on the Wadden Sea island of Fanø, big enough for cars, kites and sail-karts.",https://europebeachmap.com/beaches/fano-dk/
henne-strand-dk,Henne Strand,West Jutland,DK,Europe,3,cold,55.74,8.209,18,Jun-Aug,Wide pale sand and dunes,"Cool, open North Sea blue",Bracing and open; watch for currents,Beach-break on the open coast,A wild dune-backed North Sea beach on Jutland's west coast,true,dunes|North Sea|wild,"A wild, dune-backed North Sea beach on Jutland's windswept west coast, all big skies and rolling grey-blue surf.",https://europebeachmap.com/beaches/henne-strand-dk/
hornbaek-dk,Hornbæk Beach,North Zealand,DK,Europe,3,resort,56.095,12.46,19,Jun-Aug,A generous belt of soft white sand behind grassy dunes,"Clear, relatively warm Kattegat","Clear, gently shelving and family-friendly, among Zealand's best",None,"The classic summer resort of North Zealand's 'Danish Riviera', with a harbour and pine-dune backdrop",false,Danish Riviera|white sand|family|Kattegat,"The star of North Zealand's 'Danish Riviera' — a broad white-sand beach with clear Kattegat water and a pretty harbour, long loved by Copenhageners.",https://europebeachmap.com/beaches/hornbaek-dk/
romo-lakolk-dk,Lakolk Beach,"Rømø, South Jutland",DK,Europe,3,cold,55.14,8.49,19,Jun-Aug,An immense flat of firm pale sand — among Europe's widest,Shallow North Sea over endless tidal flats,Very shallow with big tides; more wading than swimming,Kite-buggy and windsurf country,A Wadden Sea island beach so wide cars park on the sand itself,false,drive-on|wadden sea|vast,"A beach so wide it has car lanes — Rømø's immense Wadden Sea sand flat, one of the broadest in Europe.",https://europebeachmap.com/beaches/romo-lakolk-dk/
l-kken-beach-dk,Løkken Beach,North Jutland,DK,Europe,3,cold,57.368,9.717,17,Jun-Aug,Wide pale sand,"Cool, gentle North Sea blue",Shallow and gentle; bracing North Sea temperatures,Small beach-break,"A broad Jutland beach lined with white bathing huts, drivable by car",true,white huts|wide|North Sea,"A broad North Sea strand lined with rows of white wooden bathing huts, wide enough to drive your car onto the sand.",https://europebeachmap.com/beaches/l-kken-beach-dk/
